,searchTime,keyword,maxPage,jobAnnounceDate,jobTitles,jobCompanyName,jobCompanyUrl,jobCompanyIndustry,jobContent,jobCategory,jobSalary,jobLocation,jobRqYear,jobRqEducation,jobRqDepartment,jobSpecialty,jobOthers,jobDetailUrl
0,2021-02-14 17:58:06,數據分析師,25,2/09,數據分析師,大數據股份有限公司,https://www.104.com.tw/company/1a2x6bjjhc?jobsource=jolist_b_relevance,其它軟體及網路相關業,"茫茫網海中，誰是KOL關鍵領袖，引領著話題風向？
FB數據中，哪個分眾才是主要品牌的目標族群？需要加強互動？
有一種人具有這樣的洞察力
他就是數據分析師

如果你喜歡行銷、經營策略研究
常常上網瞭解時事
覺得把數字變成各種數據圖表是有趣的
也自認很有邏輯
那你一定就是我們要找的人

工作內容：
數據探勘
數據研究報告撰寫
數據資料庫維運
應用大數據分析系統做消費者行為分析
將資料視覺化","行銷企劃人員,市場調查／市場分析","月薪35,000~50,000元",台北市中山區,經歷不拘,大學,"市場行銷相關,資訊管理相關,數理統計相關",,"有一年以上工作經驗
具備資料庫分析經驗
擁有不同數據類型的分析經驗
瞭解並喜歡研究網路行銷、社群操作
對機器學習和統計數據分析有興趣
願意團隊合作，能溝通協調
對數據資料有敏感度且有熱情
能閱讀英文文件加分
",https://www.104.com.tw/job/5944x?jobsource=jolist_b_relevance
1,2021-02-14 17:58:06,數據分析師,25,1/26,數據分析師,向上國際科技股份有限公司,https://www.104.com.tw/company/b7j4cx4?jobsource=jolist_b_relevance,電腦軟體服務業,"我們正在尋找數據分析師加入我們的數據團隊。您將負責管理我們的主數據集，開發報告以及對數據問題進行假設與實驗。為了出色地履行這一職責，您需要非常對細節有所堅持、對於數據分析工具和資料庫有深刻理解。

工作職責：
1. 管理數據，包括創建，更新和刪除。。
2. 導入數據驅動決策相關分析，必要時需要跨部門合作。
4. 調試和停用數據集。
5. 根據準則處理機密數據和資訊。
6. 幫助開發報告和分析。 
7. 管理和設計報告環境，包括數據源，安全性和元數據。
8. 配合數據倉庫識別和修訂報告要求。
9. 配合數據完整性和標準化的計劃。
10. 評估測試並實施新的或升級的軟件。
11. 從單個或多個系統生成報告。
12. 對報告數據庫環境和報告進行故障排除。
13. 評估資料分析系統的更改和更新。
14. 在新報告和儀表板上對內部員工進行教育訓練。
15. 提供有關數據存儲結構，數據挖掘和數據清理的技術專長。
16. 提供各單位業務相關數據撈取工具與報表。

數據分析師要求：
1. 擁有資工、統計、數學等領域大學或以上學位。
2. 作為數據分析師或相關領域的工作經驗2年以上工作經驗，或相關領域碩士學歷。
3. 與產品經理共事以評估潛在風險的能力。
4. 能夠利用現有工具和數據庫進行分析，並提供應用軟體相關解決方案建議。
5. 能夠將業務需求轉換為非技術性的非專業術語。
6. 精熟於管理大型資料庫的方法與流程。
7. 在處理大型數據集和關聯式資料庫方面具有豐富的經驗。
8. 了解元數據標準。
9. 高水平的書面和口頭交流能力。
10. 至少需要擅長一種數據分析語言, ex. R, SQL, Python等
11. 至少需要精熟一種圖形化分析工具, ex. Tableau, Excel, GA
12. 對於AI、ML等開發運用有經驗者，加分。
13. 有成功的GA商業營用經驗者，加分。
14. 有博弈產業經驗者，加分。
15. 有BigQuery等雲端大數據分析經驗者，加分。","統計精算人員,軟體設計工程師,資料庫管理人員","月薪40,000元以上",台中市北區,經歷不拘,大學,"應用數學相關,統計學相關,資訊工程相關","Python,R,ANSI SQL,MS SQL,MySQL,PL/SQL,PostgreSQL,Tableau,Google Analytics,Google Data Studio,Firebase,SAS,SPSS","1.熟悉Python、Ｒ、SAS、SPSS等任一分析工具者
2.熟悉Tableau、SQL、資料庫工具等使用經驗者
3.有Data Mining、Machine Learning、Predictive Model經驗者尤佳

★面試者請準備一份分析報告或相關經驗簡介　
(主題不拘，可附加檔案上傳，作為加分項目)",https://www.104.com.tw/job/6vpzg?jobsource=jolist_b_relevance
2,2021-02-14 17:58:06,數據分析師,25,2/08,數據分析師 Data Analyst,Morgan Philips Hong Kong Limited Taiwan Branch_香港商博禹國際顧問有限公司台灣分公司,https://www.104.com.tw/company/cttnq60?jobsource=jolist_b_relevance,人力仲介代徵,"我目前在協助知名大企業尋找數據分析師。

1. 以數據分析客戶行爲與偏好，並提出建議
2. 在現有商業模式下找尋可能的機會","市場調查／市場分析,統計學研究員,其他資訊專業人員",待遇面議,台北市信義區,3年以上,大學,數學及電算機科學學科類,"Python,R,MS SQL","1. 3+年數據分析工作經驗
2. 熟悉Python或SQL或R
3. 曾從數據中發現機會/找出解決方案者",https://www.104.com.tw/job/764q1?jobsource=jolist_b_relevance
3,2021-02-14 17:58:06,數據分析師,25,2/11,Data Analyst 產品數據分析師,易享科技股份有限公司,https://www.104.com.tw/company/1a2x6bifpd?jobsource=jolist_b_relevance,網際網路相關業,"MixerBox 目前已於全球突破二億下載量，並獲得矽谷知名加速器 Y Combinator 投資，團隊也已打造出多款 App Store 與 Google Play 排行榜冠軍 App，涉及領域包含影視新聞、生活娛樂、休閒遊戲和工具程式等，目前正飛速成長中，歡迎你加入我們！

【Data Analyst 產品數據分析師】
[ 職務內容 ]
- 分析使用者數據，解釋使用者行為變化，並依照目標提出對應之改善方向與解決方案
- 解讀產品運作數據與實驗成效追蹤，以及資料視覺化等
- 優化現有數據分析架構與流程，使未來實驗更便於追蹤與分析
- 從短、中、長期的角度，持續監控與分析數據，發現問題與成長的機會
- 建立與優化產品內容和機制
- 其他支援事項

[ 徵求條件 ]
- 擅長使用工具或程式，進行數據分析與建構使用者行為模型
- 具備基本統計／商業概念及精準的產品直覺
- 擅團隊合作、能根據團隊目標建立縝密邏輯，跨部門溝通 
","軟體相關專案管理師,統計學研究員,市場調查／市場分析",待遇面議,台北市中正區,經歷不拘,大學,"數學及電算機科學學科類,商業及管理學科類",,,https://www.104.com.tw/job/75rds?jobsource=jolist_b_relevance
4,2021-02-14 17:58:06,數據分析師,25,2/09,《天下雜誌群》數據分析師,天下雜誌股份有限公司,https://www.104.com.tw/company/a4hvxa0?jobsource=jolist_b_relevance,雜誌／期刊出版業,"《天下》以「有人文關懷的財經雜誌」為定位，創立以來，始終堅持獨立、深度、理性的報導風格，並且一直是台灣深具影響力的媒體，根據路透新聞學研究機構（Reuters Institute）2019年數位新聞媒體調查報告，天下雜誌是台灣民眾信任度最高的數位財經媒體。

數位經濟顛覆每個產業，媒體也無法自外，而必須因應產業環境與使用者行為的變化走向數位轉型之路。對此，天下多年來專注於持續的創新與投入，2017年，天下雜誌更決定推出轉型後最重要的產品 ---「全閱讀」數位內容訂閱服務，二年下來累積了相當成績，並在2018年因此拿下了金鼎獎「數位創新獎」。天下雜誌也將此成功轉型的過程記錄於天下雜誌數位轉型報告，與社會分享天下轉型之路所累積的經驗。(報告連結http://bit.ly/2IHMKOo )

訂閱制是各產業發展商業模式的關鍵核心，如果你對媒體產業有著熱情，如果你期待能在擁有豐富數據的環境中發揮數據分析專長，天下雜誌群正在等你加入，和我們一起為台灣優質媒體的成長與發展而努力！


為什麼天下雜誌群是最適合數據分析師征戰的公司之一？ 

1.資料量夠大且多元︰每月千萬級的流量數據、百萬級的會員資料庫、ERP/CRM、文章關鍵字、瀏覽log、APP事件等高複雜且多元的數據、還有累積數萬篇的文章與訂閱/零售/書籍/活動論壇交易資料，絕對能讓分析高手一展身手與增強數據經驗！
2.分析議題面廣且有趣︰天下是台灣推出付費牆「訂閱制經濟」的少數媒體，因此分析當然涵蓋了拉新、轉換、促活、留存等互聯網產品常見議題，而媒體業本質更加入了文字內容、高流量、多渠道的複雜特性，數據分析議題多到數不完！
3.基礎建設與技術嘗試︰過往已具彙整各方數據的分析資料庫，也涵蓋成熟的CRM歸戶系統、utm追蹤碼統整管理；隨著數據量日趨漸增且複雜，也開始採用GCP的bigquery來加快運算與分析，目前正著手進行Data Lake的整建計畫與推薦系統的優化，讓數據更能在穩健的基礎上發揮敏捷效益！
 
未來主要的數據關鍵任務：

1.診斷商業問題如內容/社群/行銷/會員經營等，自行整合各式數據提出分析建議
2.製作數據分析簡報、提供建議給高階主管與各BU營運團隊進行營運決策與行動方案
3.營運指標建置與Dashboard設計維運，協助團隊迅速了解現況並做出data-driven決策
4.用戶標籤規劃建構與客戶分級分群，協助行銷與經營團隊活化會員並轉換
5.規劃可能的數據蒐集如GA/APP事件埋碼、整合外部資料，進而提升數據品質
6.參與或負責數據優化專案，可能涵蓋Data Infrastructure建置/歸戶優化等任務
7.在內部工作坊中向各BU與專案團隊推廣數據分析成果與數據思維運用
 
我們期待你擁有的能力：

1.二年以上的商業/數據分析經驗，具CRM、互聯網產品、APP經驗佳
2.嫻熟的數據程式能力，不限Python/R/SAS，但SQL-like的操作經驗是必備的
3.能定義並拆解業務的抽象需求，提出可行的數據分析切入點與可落地的建議
4.有能力進行跨部門(業務與技術部門)溝通與密切合作，將數據分析結果白話文，若能資料視覺化佳
5.熟悉Google Analytics工具，涵蓋名詞定義、utm追蹤與來源媒介、事件設計
6.具ETL經驗，若有自動化/Data Warehouse/Data Mart/Data Mining經驗佳
7.具BI工具使用經驗，熟悉Data Studio經驗佳
8.具雲端運算經驗佳(GCP、Bigquery)
9.具串API經驗佳(GA API、Bigquery API)","市場調查／市場分析,統計學研究員,統計精算人員",待遇面議,台北市中山區,2年以上,大學,"數理統計相關,數學及電算機科學學科類,商業及管理學科類","Excel,PowerPoint,Word", ,https://www.104.com.tw/job/6xu4x?jobsource=jolist_b_relevance
5,2021-02-14 17:58:06,數據分析師,25,2/04,平台營運部｜數據分析師,pressplay_瑞奧股份有限公司,https://www.104.com.tw/company/1a2x6bivct?jobsource=jolist_b_relevance,廣告行銷公關業,"PressPlay 分為三大事業及一子公司
三大事業分別為：
知識內容事業 PressPlay Academy｜PPA
內容行銷事業 PressPlay Connect｜PPC
影響力品牌事業 PressPlay Next｜PPX
子公司為：創作者品牌創業｜Wow!Food

▶︎知識內容事業 PressPlay Academy｜PPA

PressPlay Academy（PPA）是台灣最大的線上學習網站，累積近 40 萬名註冊會員，團隊致力於提供創作者流暢的創作體驗、能讓自身能力變現的平台，也為學習者打造最有效率的學習方式，不論想學什麼、用什麼載具學習，PressPlay 都能滿足這些需求。

PPA 目前分為 5 大部門：商業開發、課程營運、知識內容行銷、產品設計部及系統開發部，身為數據分析師的你將隸屬於知識內容行銷部門。


【工作內容】
▶︎ CRM 分析及建立預測模型，並落實應用
▶︎ 進行用戶行為和產品使用路徑研究，提出商業策略和優化建議
▶︎ 能運用雲端平台的功能，優化數據服務的維運流程
▶︎ 主動研究公司商業模式與痛點、且具備跨部門溝通梳理數據需求能力，主動提出有效的解決方案
▶︎ 需熟悉 SQL、Python 或 R

【加分條件】
▶︎有 Big Data 分析經驗者(Distributed Systems/Big Data Processing/Cloud Computing)
▶︎將 decision trees, multivariate logistic regression, kNN, kMeans 等任一種機器學習應用在實務的經驗
▶︎熟悉數值離散化、標準化。非數值型、數據擴增、降維等處理","電腦系統分析師,統計學研究員","月薪45,000~65,000元",台北市大同區,3年以上,大學,"其他數學及電算機科學相關,資訊工程相關,數理統計相關","Python,R,MS SQL",,https://www.104.com.tw/job/76lk0?jobsource=jolist_b_relevance
6,2021-02-14 17:58:06,數據分析師,25,2/09,數據分析師,代碼科技有限公司,https://www.104.com.tw/company/1a2x6bl6ec?jobsource=jolist_b_relevance,電腦軟體服務業,數據清洗、數據建模、數據分析、趨勢預測。 ,"市場調查／市場分析,統計學研究員,統計精算人員","月薪60,000~100,000元",台北市信義區,3年以上,專科,,,"1. 深度熟悉Excel操作，熟練掌握SPSSR語言Python建模能力尤佳。
2. 精通統計理論相關知識，並有數據分析實際經驗尤佳。",https://www.104.com.tw/job/6ys0g?jobsource=jolist_b_relevance
7,2021-02-14 17:58:06,數據分析師,25,2/05,數據分析師,艾酷互動股份有限公司,https://www.104.com.tw/company/1a2x6bkq17?jobsource=jolist_b_relevance,電腦軟體服務業,"工作簡述： 
1. 建立分析數據指標、發掘問題，並提供各單位營運上分析觀察與建議 
2. 執行數據分析專案與任務，並提供報表或簡報產出 
3. 設計建立預測工具 

需求條件： 
1. 精通統計理論及機器學習相關知識 
2. 邏輯思維佳、主動積極並具備良好表達與溝通能力 

加分條件：
1. 熟悉SQL/NOSQL 資料庫工具
2. 熟悉Python 之數據分析機器學習相關套件 


其他條件：
1. 喜愛團隊合作及溝通能力佳者

有以下條件者將優先面試： 
1. 具備機器學習在資料分析相關應用的經驗 
2. 有相關經驗 
3. 可提供數據分析相關作品 
4. 曾參與Kaggle或Datathon分析比賽 ","市場調查／市場分析,統計精算人員","月薪30,000~80,000元",台中市西屯區,2年以上,大學,,"Python,MS SQL,MySQL,Power BI​,SAS,SPSS",,https://www.104.com.tw/job/76g3s?jobsource=jolist_b_relevance
8,2021-02-14 17:58:06,數據分析師,25,2/09,數據分析師,品優科技有限公司,https://www.104.com.tw/company/1a2x6blb6s?jobsource=jolist_b_relevance,電腦軟體服務業,"1.製作與更新經營管理報表
2.建立模擬與預測模組
3.製作分析報告
4.提出創新或改善方案
5.BI系統建置","統計精算人員,軟體設計工程師,其他專案管理師",待遇面議,台北市松山區,3年以上,大學,"應用數學相關,數理統計相關,資訊工程相關",,"1、需具備細心、耐心、學習心
2、熟悉BI系統建置及善用Excel
3、初期會先在台灣入職，未來會轉到英國工作",https://www.104.com.tw/job/76ijn?jobsource=jolist_b_relevance
9,2021-02-14 17:58:06,數據分析師,25,1/18,數據分析師,百阜科技股份有限公司,https://www.104.com.tw/company/1a2x6bkdrx?jobsource=jolist_b_relevance,電腦軟體服務業,"1.	彙整遊戲數據報表並將資料視覺化，以協助相關人員了解產品狀況。
2.	建立分析指標，追蹤並記錄數據，提出方案以優化現有產品。
3.	設計新專案遊戲AI並透過數據驗證市場接受度。
4.	其他主管交辦事項。
","遊戲企劃人員,市場調查／市場分析,其他資訊專業人員",待遇面議,台北市內湖區,經歷不拘,專科,,,"●具備以下條件優先面試(非必要條件)

1.	熟悉統計理論相關知識並有實際數據分析經驗。
2.	曾設計遊戲AI並透過數據驗證市場接受度。
3.	獨立作業，無經驗可，有1年以上經驗者佳。
",https://www.104.com.tw/job/758eh?jobsource=jolist_b_relevance
